Unicode_Char	CodePoint	Codepoint_hexa	composed_char	composed_char_codepoints	composed_char_codepoints_hexa	BetaCode	Description
Ἣ	7979	U+1F2B	Ἣ	919,788,768	U+397-U+314-U+300	*(\H	uppercase eta+dasia+varia
ᾛ	7979-837	U+1F2B-U+345	ᾛ	919,788,768,837	U+397-U+314-U+300-U+345	*(\H|	uppercase eta+dasia+varia+hypogegrammeni
Θ	920	U+398	Θ	920	U+398	*Q	uppercase theta
Ι	921	U+399	Ι	921	U+399	*I	uppercase iota
Ῐ	8152	U+1FD8	Ῐ	921,774	U+399-U+306	*'I	uppercase iota+short_sign
Ῑ	8153	U+1FD9	Ι¯	921,175	U+399-U+AF	*&I	uppercase iota+long_sign
Ί	906	U+38A	Ί	921,769	U+399-U+301	*/I	uppercase iota+oxia
Ὶ	8154	U+1FDA	Ὶ	921,768	U+399-U+300	*\I	uppercase iota+varia
Ἰ	7992	U+1F38	Ἰ	921,787	U+399-U+313	*)I	uppercase iota+psili
Ἴ	7996	U+1F3C	Ἴ	921,787,769	U+399-U+313-U+301	*)/I	uppercase iota+psili+oxia
Ἲ	7994	U+1F3A	Ἲ	921,787,768	U+399-U+313-U+300	*)\I	uppercase iota+psili+varia
Ἶ	7998	U+1F3E	Ἶ	921,787,834	U+399-U+313-U+342	*)=I	uppercase iota+psili+perispomeni
Ἱ	7993	U+1F39	Ἱ	921,788	U+399-U+314	*(I	uppercase iota+dasia
Ἵ	7997	U+1F3D	Ἵ	921,788,769	U+399-U+314-U+301	*(/I	uppercase iota+dasia+oxia
Ἳ	7995	U+1F3B	Ἳ	921,788,768	U+399-U+314-U+300	*(\I	uppercase iota+dasia+varia
Ἷ	7999	U+1F3F	Ἷ	921,788,834	U+399-U+314-U+342	*(=I	uppercase iota+dasia+perispomeni
Κ	922	U+39A	Κ	922	U+39A	*K	uppercase kappa
Λ	923	U+39B	Λ	923	U+39B	*L	uppercase lambda
Μ	924	U+39C	Μ	924	U+39C	*M	uppercase mu
Ν	925	U+39D	Ν	925	U+39D	*N	uppercase nu
Ξ	926	U+39E	Ξ	926	U+39E	*C	uppercase xi
Ο	927	U+39F	Ο	927	U+39F	*O	uppercase omicron
Ό	908	U+38C	Ό	927,769	U+39F-U+301	*/O	uppercase omicron+oxia
Ὸ	8184	U+1FF8	Ὸ	927,768	U+39F-U+300	*\O	uppercase omicron+varia
Ὀ	8008	U+1F48	Ὀ	927,787	U+39F-U+313	*)O	uppercase omicron+psili
Ὄ	8012	U+1F4C	Ὄ	927,787,769	U+39F-U+313-U+301	*)/O	uppercase omicron+psili+oxia
Ὂ	8010	U+1F4A	Ὂ	927,787,768	U+39F-U+313-U+300	*)\O	uppercase omicron+psili+varia
Ὁ	8009	U+1F49	Ὁ	927,788	U+39F-U+314	*(O	uppercase omicron+dasia
Ὅ	8013	U+1F4D	Ὅ	927,788,769	U+39F-U+314-U+301	*(/O	uppercase omicron+dasia+oxia
Ὃ	8011	U+1F4B	Ὃ	927,788,768	U+39F-U+314-U+300	*(\O	uppercase omicron+dasia+varia
Π	928	U+3A0	Π	928	U+3A0	*P	uppercase pi
Ρ	929	U+3A1	Ρ	929	U+3A1	*R	uppercase rho
Σ	931	U+3A3	Σ	931	U+3A3	*S	uppercase sigma
Τ	932	U+3A4	Τ	932	U+3A4	*T	uppercase tau
Υ	933	U+3A5	Υ	933	U+3A5	*U	uppercase upsilon
Ῠ	8168	U+1FE8	Ῠ	933,774	U+3A5-U+306	*'U	uppercase upsilon+short_sign
Ῡ	8169	U+1FE9	Υ¯	933,175	U+3A5-U+AF	*&U	uppercase upsilon+long_sign
Ύ	910	U+38E	Ύ	933,769	U+3A5-U+301	*/U	uppercase upsilon+oxia
Ὺ	8170	U+1FEA	Ὺ	933,768	U+3A5-U+300	*\U	uppercase upsilon+varia
Ὑ	8025	U+1F59	Ὑ	933,788	U+3A5-U+314	*(U	uppercase upsilon+dasia
Ὕ	8029	U+1F5D	Ὕ	933,788,769	U+3A5-U+314-U+301	*(/U	uppercase upsilon+dasia+oxia
Ὓ	8027	U+1F5B	Ὓ	933,788,768	U+3A5-U+314-U+300	*(\U	uppercase upsilon+dasia+varia
Ὗ	8031	U+1F5F	Ὗ	933,788,834	U+3A5-U+314-U+342	*(=U	uppercase upsilon+dasia+perispomeni
Φ	934	U+3A6	Φ	934	U+3A6	*F	uppercase phi
Χ	935	U+3A7	Χ	935	U+3A7	*X	uppercase chi
Ψ	936	U+3A8	Ψ	936	U+3A8	*Y	uppercase psi
Ω	937	U+3A9	Ω	937	U+3A9	*W	uppercase omega
ῼ	8188	U+1FFC	ῼ	937,837	U+3A9-U+345	*|W	uppercase omega+hypogegrammeni
Ώ	911	U+38F	Ώ	937,769	U+3A9-U+301	*/W	uppercase omega+oxia
Ώͅ	911-837	U+38F-U+345	Ώͅ	937,769,837	U+3A9-U+301-U+345	*/|W	uppercase omega+oxia+hypogegrammeni
Ὼ	8186	U+1FFA	Ὼ	937,768	U+3A9-U+300	*\W	uppercase omega+varia
Ὼͅ	8186-837	U+1FFA-U+345	Ὼͅ	937,768,837	U+3A9-U+300-U+345	*\|W	uppercase omega+varia+hypogegrammeni
Ὠ	8040	U+1F68	Ὠ	937,787	U+3A9-U+313	*)W	uppercase omega+psili
ᾨ	8104	U+1FA8	ᾨ	937,787,837	U+3A9-U+313-U+345	*)|W	uppercase omega+psili+hypogegrammeni
Ὤ	8044	U+1F6C	Ὤ	937,787,769	U+3A9-U+313-U+301	*)/W	uppercase omega+psili+oxia
ᾬ	8108	U+1FAC	ᾬ	937,787,769,837	U+3A9-U+313-U+301-U+345	*)/W|	uppercase omega+psili+oxia+hypogegrammeni
Ὢ	8042	U+1F6A	Ὢ	937,787,768	U+3A9-U+313-U+300	*)\W	uppercase omega+psili+varia
ᾪ	8042-837	U+1F6A-U+345	ᾪ	937,787,768,837	U+3A9-U+313-U+300-U+345	*)\W|	uppercase omega+psili+varia+hypogegrammeni
Ὡ	8041	U+1F69	Ὡ	937,788	U+3A9-U+314	*(W	uppercase omega+dasia
ᾩ	8105	U+1FA9	ᾩ	937,788,837	U+3A9-U+314-U+345	*(|W	uppercase omega+dasia+hypogegrammeni
Ὥ	8045	U+1F6D	Ὥ	937,788,769	U+3A9-U+314-U+301	*(/W	uppercase omega+dasia+oxia
ᾭ	8109	U+1FAD	ᾭ	937,788,769,837	U+3A9-U+314-U+301-U+345	*(/W|	uppercase omega+dasia+oxia+hypogegrammeni
